,names,reviews,ratings,date
670,Kenzie,"the app is amazing !!. i used it not long ago but i deleted it because my friends deleted it and i don't need it anymore. i downloaded it again for a friend of mine, but when i added my number it didn't send me the code, i tried twice and still didn't get any codes. so please fix this problem as soon as possible.",Rated 3 stars out of five stars,"August 22, 2022"
671,Wedyan Alhail,"I had it on my ipad for a few weeks then when i found out its on android i immediatly logged out and insttaled it here. When i go in the app, i put my number in and the code message will never send me a code to put it in the app. I've had tgis problem for less than a month and i would like it to be fixed. But all and all, the app is really fun to use.",Rated 2 stars out of five stars,"May 29, 2022"
672,Cynthia kerinja,Don't get me wrong I love the app But the android version is depressing compare to ios,Rated 1 stars out of five stars,"February 24, 2023"
673,Erica Nelson,"Not ready for Android! Can't even finish signing up. It asks for my name in set up, I hit continue and it just sounds. It never loads past that. I've force quit, cleared app cache, even reinstalled.",Rated 1 stars out of five stars,"April 19, 2022"
674,Amanda B.,"Fun app to share snaps with your unexpecting family and friends, give them impressions of your day.",Rated 5 stars out of five stars,"February 20, 2023"
675,Ainur Sarafina,the camera doesn't work. it's just showing black screen but it was fine at first. i already uninstall and reinstall it but it still the same. please fix this issue edit: it works! just sign out and sign in again and now the camera's working,Rated 1 stars out of five stars,"August 14, 2022"
676,Dmitry Stepanov,"a little emoji pack. and even if somebody from iOs sends other emoji that isnt default from android, so it will not appear",Rated 2 stars out of five stars,"October 23, 2022"
677,Nur Aziza,it will be nice if android can chat like on iPhone '),Rated 4 stars out of five stars,"March 24, 2023"
678,Tea Yonzaga (Tea),"app does not let me sign up despite me typing in my correct number. it takes an entire day for the code to be sent, and when it does send, it doesn't work wjen typed into the app. when contacting staff about the problem, they were not helpful at all. please do better.",Rated 1 stars out of five stars,"April 28, 2022"
679,Louise Ahimsa,"Hello! I'm not sure if it applies to all devices, particularly android users, but when i use the back camera on locket, it turns blurry. Although my back camera is operates smoothly on my camera app, i just don't know why whenever i use this app, all my pics that are captured through the back camera came out blurry. Please help!",Rated 3 stars out of five stars,"July 26, 2022"
680,Juan Carlos Corona Romero,"Slow in opening to the camera to capture the right moment. Most of the time I stare at a black screen on startup, then I have to switch camera modes and by that time the moment is lost.",Rated 3 stars out of five stars,"September 22, 2022"
681,시몬Qilah,"It's so cute to share our moment with our friends and family. But i hope you can add notification, add reaction more, add filter, and add profile picture too. So that can be more awesome and cool for this app. Thank you <3",Rated 5 stars out of five stars,"November 11, 2022"
682,Michael Echim,"The idea behind this app is awesome. However, it does not work at all. I send friend requests to my friend and she accepts it, but it doesn't show that to me. When I resend the request, she has two identical accepted requests and it doesn't show me that she accepted it",Rated 1 stars out of five stars,"April 19, 2022"
683,mento zed,The app is great and works very good on Android. The only thing that the app lacks is the feature to upload photos from gallery and even edit them other than that it's still nice.,Rated 5 stars out of five stars,"April 22, 2022"
684,Bentley Brown,It's so fun and cute to have on my homescreen,Rated 5 stars out of five stars,"February 28, 2023"
685,Alyssa Palma,I love sending pictures to my friends.And it's a bonus that the pictures send even with almost no wifi!,Rated 5 stars out of five stars,"December 18, 2022"
686,Tantei Rekishī,I really love this app hehe. It's fun and my friends told me to download this..,Rated 5 stars out of five stars,"February 18, 2023"
687,DarkAbsorber,"It doesn't work on my phone, it doesn't even load, it let's me to put widgets of it but it doesn't let me add pictures, it just takes me to the loading screen. After waiting 20 minutes in the loading screen it still doesn't do anything else.",Rated 2 stars out of five stars,"July 26, 2022"
688,Hà Võ Hồng,"I love the app, but please update the replying feature for android devices!!",Rated 5 stars out of five stars,"January 17, 2023"
689,Destiny Williams,love the app but I don't get why the android version doesn't have all of the same apple features.,Rated 4 stars out of five stars,"January 18, 2023"
690,Tiago Velez,"it's a really cool app, all of my friends have it and it works perfect! the only suggestion would be for the app to be in spanish, my friends don't know english and it's a bit hard for them to understand",Rated 5 stars out of five stars,"June 19, 2022"
691,Mohammed Ali Karte,"oh how glad i am that its finally here. the customer care for the people who run this application is absolutely amazing, the lady who tended to me (Rozelle) kept up with me asking about the application. She is extremely professional and i really appreciate her keeping me updated. The app its self is wonderful me and the missus spend alot of time really dwelling in photography so i would really recommend this application to everyone",Rated 5 stars out of five stars,"April 19, 2022"
692,Gaurvika Bibra,"It's really cute app, just one suggestion : let us also draw and type text on the picture, it will be really helpful And add a few effects like just to enhance the brightness of the picture Hope this will be included in the nexr update ;))",Rated 4 stars out of five stars,"August 23, 2022"
693,luv4rach,"i like this app so much but now when i want to get back into my acc i cannot because it says too many attempts i already tried many times and if i cant login iil just uninstall this, so can u help me? thank u",Rated 3 stars out of five stars,"December 21, 2022"
694,ABA AL3Z,"There is a problem taking photo with back camera, its a very low resolution (as if as i shot that from old nokia phone). it seems to like the app doesnt use the main camera of the phone. The front camera works fine though. I hope you fix that as soon as possible 🙏 (i am using Huawei nova 5t)",Rated 1 stars out of five stars,"May 3, 2022"
695,R . E . N,"It has no updates for andrioed users , if an update comes i will have to wait 2 years for the same update to be available in andriod and it sucks",Rated 3 stars out of five stars,"November 4, 2022"
696,Andreas Theodorus,"I can't register, the app always refuse with ""too many attempts, please try again later."" can u help?",Rated 2 stars out of five stars,"December 21, 2022"
697,Skii yu,"The app literally does not allow me to make an account, i just downloaded it and tried putting me number in, it says my device is blocked due to many attempts ??? What? This is literally my first time downloading the app. I tried uninstalling and reinstalling again thinking maybe it's a glitch, I still can't.",Rated 1 stars out of five stars,"April 20, 2022"
698,ʜ,I like this app. But try to add filter to use/choose that looks good and aesthetic. And try to add features to send pictures from our gallery. That must be nice!!,Rated 4 stars out of five stars,"August 26, 2022"
699,Thira Baiena,itd be amazing if i dont have to add friends first to use the app,Rated 3 stars out of five stars,"February 24, 2023"
700,Haidi Ali,the app misses a lot of its features on android phone,Rated 3 stars out of five stars,"February 16, 2023"
701,Matthew Recto,I can't see the past photos and its take yoo long to send,Rated 1 stars out of five stars,"February 18, 2023"
702,Mazoon Almalki,My friends keep replying to me but i can't see them!!,Rated 2 stars out of five stars,"February 20, 2023"
703,Md Almalki,Why I can't write a comment on my friends pictures? This feature is already on IOS,Rated 1 stars out of five stars,"February 23, 2023"
704,Menna Ahmed,my locket widget isn't working that well idk why it's not showing my friends,Rated 3 stars out of five stars,"February 19, 2023"
705,Mohmmed Nini,Very bad user experience in android,Rated 1 stars out of five stars,"February 12, 2023"
706,سمية الهاجري,Please update the application to let Samsung users able to message each other and ios users,Rated 1 stars out of five stars,"February 18, 2023"
707,Kongkidakron Jamkrajang (Kongki),I love this app but in androird can't chat or reply and i want it please!,Rated 3 stars out of five stars,"March 1, 2023"
708,Allie .C,Really good app for friends!!,Rated 5 stars out of five stars,"February 16, 2023"
709,Abdulrahman,The idea of the app is amazing and cool but I don' get it why iPhone users can write comments and read comments but for android it's not working,Rated 2 stars out of five stars,"February 26, 2023"
710,Sans Skeleton,it's suuuuper cool!!!! and also suuuuuupeer laggy!!!!!,Rated 3 stars out of five stars,"February 17, 2023"
711,Lucy Murphé,so nice to keep connected to the gals in a cute new way,Rated 5 stars out of five stars,"February 18, 2023"
712,Chheang Sovathana,please optimise ur app on Android it lag af,Rated 3 stars out of five stars,"February 28, 2023"
713,Jarlon George,Does not have the same features as the iPhone which is very disappointing....,Rated 1 stars out of five stars,"November 6, 2022"
714,Sarah,"Wonderful idea, I really hope it'll get fixed soon! I can't add any friends for some reason, until my sister added me back and it worked fine? Also, most of my friends have UK numbers but I'm based in Japan, so when i try to add their numbers, it automatically adds the Japan dialing code instead of uk one 🤔",Rated 2 stars out of five stars,"April 15, 2022"
715,Morinosuke,"Looks like the app's down. I can't send a picture, stuck at Send To... screen for 10 minutes. This app is hopeless and not optimized for Android. Laggy, buggy, limited features. Sheesh.",Rated 1 stars out of five stars,"July 21, 2022"
716,aaron aryee,"it's great but it's started lagging a little lately. also I can't respond to ppl when they comment on something I posted, which is annoying since Apple users have had that feature for quite a while.",Rated 2 stars out of five stars,"March 4, 2023"
717,Toffee Sulaiman,"i don't like that us android users are excluded from updates and new features that ios users have, I've been hoping for this situation to be fixed for a while now I'm beginning to lose hope on this app.",Rated 1 stars out of five stars,"March 22, 2023"
718,Cheney-Jo,I feel that you should add the feature to send a photo to an individual friend as sometimes I don't want to send it to everyone. This app has great potential :),Rated 4 stars out of five stars,"April 23, 2022"
719,My Journey,"Like it, hopefully it will update to allow pics to be uploaded from the camera roll.",Rated 4 stars out of five stars,"November 27, 2022"
720,sa'maria s .,"This app is really great! But on android, we cant send messages with the pictures, etc. IOS has more features but i really hope to see them in the future!",Rated 5 stars out of five stars,"September 17, 2022"
721,Judah Nelson,Fun app but android version needs!!! An update I can't see when my friends reply with a message on my locket,Rated 3 stars out of five stars,"December 23, 2022"
722,Marie Blechschmidt,It is a cool idea but why. Just why do I have too add some friends to it before I add the widgets? What do they have to do with what's on my screen? And can't you do that with the verification by email not everyone wants to show their number to a random app. Yea I guess that all. 2-10 stars,Rated 2 stars out of five stars,"June 30, 2022"
723,bluu boo,"it wont load for me. i recently reinstalled the app because it wouldnt show me my friend's recent pics, now it wont let me log back in. please fix this",Rated 1 stars out of five stars,"December 20, 2022"
724,Faiq Hilman,the app is awesome but sometimes we cannot scroll the emoji and we cannot reply the image with chat,Rated 3 stars out of five stars,"December 14, 2022"
725,Angelica Castro Andrade,"the app works perfectly fine for me, however I have to agree it really should give us an option on who we send our pictures to not just everyone we're friends with... please update this soon I'd use the app more if that were fixed!!",Rated 3 stars out of five stars,"April 19, 2022"
726,Wade,Amazing concept and great app - when it works. Sometimes when I open the app it says that I have to add friends to send a picture even though I already have friends.,Rated 3 stars out of five stars,"August 5, 2022"
727,Ahmed Abdalrhman,Why there is no chat in the android phone?,Rated 1 stars out of five stars,"March 24, 2023"
728,manasvi w.,there are so many bugs on android. the minute i open this i have zero friends and i cant view any of the pictures my friends have sent and i have to exit and open multiple times for the app to work. Olease for the love of god fix the bugs because the app becomes terrible to us,Rated 2 stars out of five stars,"August 3, 2022"
729,Jaxya Gay,When I first get it I put my phone number in and it never sent me a code to go on Pls fix this,Rated 1 stars out of five stars,"February 21, 2023"
730,KoroRisu,I like this app so far but I would like to suggest one thing. Please make it so that there would be more reactions to choose from.,Rated 5 stars out of five stars,"November 13, 2022"
731,Azmina Qistina,"As an android user , the picture tend to be blurry so please work on that 🙇‍♀️ it is so frustrating",Rated 1 stars out of five stars,"November 14, 2022"
732,Ximena zuniga,"I love it!!! not the best app on my home screen, but definitely give it a try!",Rated 4 stars out of five stars,"November 13, 2022"
733,Vera Minson,"There aren't any adds, it's a great app for friends to have fun together.",Rated 5 stars out of five stars,"November 28, 2022"
734,Lea Padua,"It's an amazing app, but I think it'll be more fun if we could also do short videos.",Rated 5 stars out of five stars,"November 16, 2022"
735,Katia,"Its cool, would love to send reactions in an easier way and to upload pictures from camera too",Rated 4 stars out of five stars,"November 8, 2022"
736,Jerald Laxa,"it's a good app, but whenever my friends reply to my pic I don't see it (andriod) please update the reply on andriod phones Thankyou!",Rated 1 stars out of five stars,"December 12, 2022"
737,Tianna Henry,This app is very good I get to send pics to my friends daily and I love it 5 star rating for suree... you guys should definitely download it!!👍🏽,Rated 5 stars out of five stars,"December 30, 2022"
738,Daffa Adiguna,"Can't even login, stuck in the bug that said too many attempts for sending code",Rated 1 stars out of five stars,"December 17, 2022"
739,To6i,It's nice. Could be a lot better if it has the same features as the ios version.,Rated 3 stars out of five stars,"December 20, 2022"
740,Black Track,You can't upload any photo while u have no internet (retry button function like IOS ver) and this is so bad,Rated 2 stars out of five stars,"November 11, 2022"
741,Kevon Anderson,"Overall ok app, download photos button hasn't ever worked for me though.",Rated 2 stars out of five stars,"October 22, 2022"
742,Karissa,"Takes a while to load, camera glitches aswell. Freezes frequently",Rated 3 stars out of five stars,"October 29, 2022"
743,Kenia Martinez,Amazing! No adds and its easy to use! It's great for bsfs and partners,Rated 5 stars out of five stars,"December 13, 2022"
744,Anissa Smith,it's not bad I do wish you could actually text in the app and make gcs and stuff but other than that it's fine,Rated 4 stars out of five stars,"October 23, 2022"
745,abod awad,"I hate the auto brightness adjustment, need performance improvement",Rated 2 stars out of five stars,"November 27, 2022"
746,Samantha Andaya,didnt send me a messeage for the 6 digit code and ive been trying to figure out for 5 how it will send me it cuz it never sent me anything and i cant use the app now :(,Rated 1 stars out of five stars,"December 14, 2022"
747,rona bassami,The best program for this period is very beautiful and light and shows hidden creations,Rated 5 stars out of five stars,"November 11, 2022"
748,ᴋɪᴍ-sᴜ-ʏᴜɴ,"The application is very very nice, but I hope you will update it like the iPhone update, thank you",Rated 4 stars out of five stars,"October 22, 2022"
749,Moriah Knight,"great! although, I wish you could choose pics from your camera roll",Rated 4 stars out of five stars,"November 19, 2022"
750,Lily Thomas,I love thise so much but I would live if they added multiple widgets for different friends,Rated 5 stars out of five stars,"November 30, 2022"
751,Jessica Abraham,This app is soooo discriminative to android users because alot if updates and features that the ios users have we android users barely have which is very irritating making me not like opening the app often,Rated 1 stars out of five stars,"December 29, 2022"
752,•Smoothie Berry Lulu•,don't really like the fact that it has a limited text but otherwise it's good,Rated 4 stars out of five stars,"October 23, 2022"
753,Abbie Williams,Love the idea and everything about it!! Just wish I could see who my friends have added,Rated 4 stars out of five stars,"December 7, 2022"
754,Hiba Adel,the app is so slow and lags a lot and always goes on force shutdown,Rated 2 stars out of five stars,"December 10, 2022"
755,Oakley Bagwell,I love this app with my friend she always sends funny pictures on it so it's perfect to save,Rated 5 stars out of five stars,"November 27, 2022"
756,Melody,"So cute and cool, wish you could use gallery images that would definitely be a 5 star",Rated 4 stars out of five stars,"November 27, 2022"
757,Hi hello,"I like the idea that I can send the pictures for the people I want to show it to them, that's a really cool app, I love it<3",Rated 5 stars out of five stars,"November 18, 2022"
758,Jay Arnold,"I cant get into the app, I deleted the app then reinstalled but the damn app won't load",Rated 1 stars out of five stars,"November 17, 2022"
759,Maddison Gilmour,Absolutely love it. It's a way for my friends and I to communicate without the hassle,Rated 5 stars out of five stars,"October 27, 2022"
760,Aarush Banerjee,Love the app and use it every day I'd just like to know who I've sent my previous lockets to bc sometimes I don't check and then I don't know who's seen it if it was meant for another person,Rated 4 stars out of five stars,"December 9, 2022"
761,Lisa Echols,Love this app. It would be awesome if there was a best friends widget,Rated 5 stars out of five stars,"October 26, 2022"
762,Kary Playz,Super fun especially w friends No adds and its super easy to figure out,Rated 5 stars out of five stars,"December 14, 2022"
763,ALAA ABDULAZIZ,The app idea is great but the new Features they add to it come to Android devices late,Rated 2 stars out of five stars,"October 23, 2022"
764,Atinuke Wahidat,Increase the number of friends you can add a bit😭 And the app is also terrible on android,Rated 2 stars out of five stars,"November 2, 2022"
765,Percy Esteena,I think it's a great way to mingle and make new friends...I'm in love with this app because me and my friends have so many memories,Rated 5 stars out of five stars,"November 7, 2022"
766,Brooke S,sometimes it just turns black and the app needs to be re downloaded,Rated 3 stars out of five stars,"October 22, 2022"
767,Sander,Make android widget better can only see the latest picture and not multiple friends!,Rated 1 stars out of five stars,"December 6, 2022"
768,Larry Henson,Didn't get past setup. Why would you need my phone number for a simple widget.... No thank you,Rated 1 stars out of five stars,"December 4, 2022"
769,Mimi Moon,It's was working but now when I try to open the app it's only black screen 😒😑,Rated 1 stars out of five stars,"November 5, 2022"
770,WOKOMA SOTONYE,I love using this app but it has a lot of glitches and the camera quality on an AOS is poor,Rated 4 stars out of five stars,"December 11, 2022"
771,Neax,"I have only one issue, and that's that i wish that we could add photos from gallery",Rated 4 stars out of five stars,"November 19, 2022"
772,Jonathan Muttiah,Love the app. But sometimes the picture doesn't get updated.,Rated 4 stars out of five stars,"November 28, 2022"
773,aikou,"It keeps saying ""too many attempts"" while my phone number doesn't have any problem",Rated 1 stars out of five stars,"December 26, 2022"
774,Jasmine Savage,funand interactive but very slow to do things,Rated 3 stars out of five stars,"January 30, 2023"
775,jjonghomo,love it BUT PLEASE GIVE MORE FEATURES FOR ANDROID 😭,Rated 4 stars out of five stars,"March 23, 2023"
776,Redaa Thahab,The Samsung version is the worst thing ever. It laggs alot' and you can add your notes or reaction to the pics like iphone does. It takes for ever to let me see my friends pics. However I like the app's idea.,Rated 1 stars out of five stars,"May 5, 2022"
777,Mina Salman,"First of all I've seen alot of people having fun with it so i gave it a try, I've installed it two times because its not sending the verification code i tried so many times still not working. I hope you guys fix the problem",Rated 1 stars out of five stars,"September 14, 2022"
778,Atasha althea Acedillo,It's such a good app but i wish i can re see again the photos that i have sent,Rated 4 stars out of five stars,"December 18, 2022"
779,Pavla Pavleković,"Its so cool but if you have 2 or more friends you cant have a widget for each one of them, they need to share one widget and I would like if you can change it, it would be better but overall cool app.",Rated 4 stars out of five stars,"October 5, 2022"
780,Thái,"Still cant cant chat, too many bugs. Fun concept though",Rated 2 stars out of five stars,"December 30, 2022"
781,Angelica Macalino,"it would be great if we can send pictures directly from the gallery instead of having to take a picture every time you want to send one to your friends. Overall a great app, could use some improvements",Rated 3 stars out of five stars,"June 22, 2022"
782,María Constanza Sierra Gutierrez de Piñeres,"i can't get through the set up phase, it stays in the part where the code is supposed to arrive after i put my phone number but it doesn't work. I restarted my phone, uninstalled the app installed it again and it's still not working",Rated 1 stars out of five stars,"June 7, 2022"
783,Ain Safinaz (N),Didn't have a reply button for android,Rated 3 stars out of five stars,"March 5, 2023"
784,Richolee Plazo,lack of features like being able to upload an image,Rated 3 stars out of five stars,"November 20, 2022"
785,Hmza M,"Please add custom emoji reaction, also when someone reacts with a non default emoji I cannot see which emoji they used (not even through the notification)",Rated 5 stars out of five stars,"November 17, 2022"
786,Unclearverb,"Great app!! It's so fun to use and a great way to connect with your friends and family, but I still don't know why all the screen is gray unlike the iPhone version with colors. That's the only problem, everything else is great.",Rated 5 stars out of five stars,"September 28, 2022"
787,jia Ying,Android users can't reply and read the messages...so saddd.. hope can improve,Rated 3 stars out of five stars,"December 24, 2022"
788,SWED Inc.,"pls update app on android, I can't read and text messages",Rated 3 stars out of five stars,"January 18, 2023"
789,off1xialyt,"Great app!! So thankful it came onto android, I have so much fun sending pics with my friends! when I downloaded it, it allowed me to save the pictures that my friends send. But after I update I couldn't save anymore! So big big request! Can u allow people to save each other pics? Thank you so much If that is possible<3",Rated 4 stars out of five stars,"April 24, 2022"
790,Don Malvas,Dm doesn't work with Android,Rated 2 stars out of five stars,"March 28, 2023"
791,lliixny,"I've used the app for about 3 months in galaxy a32 5g and what I don't like about the app that's u can't delete a pic you've send to someone + picture quality is sooo bad the IOS version is waaay better then android version, wishing that these things change in next update thx for reading my comment.",Rated 3 stars out of five stars,"October 13, 2022"
792,Maxiii,"I didn't even get to use this app, but I put in my phone number and I never got the text for the sms code for this app! I thought it was just a error, so, I decided to restart the app and do a lot of things to get the text for the sms code. however, there's was no such of a text message showing the sms code. I wanted to use this app too because it was recommended to me, from tiktok, but now it seems like I have to figure out another way.",Rated 1 stars out of five stars,"April 26, 2022"
793,Raelei,It made me have the same contacts as the person I friended very annoying i don't know how to fix and when she adds one or deletes on it does the same on mine can someone help me fix this but for now I just delete app,Rated 1 stars out of five stars,"March 2, 2023"
794,lucy !,"I was excited for it to be available to android but its so bad, first of all i cant send messages to my friends, i cant press continue after i add my friends, so please fix ur app before u make it available",Rated 1 stars out of five stars,"January 28, 2023"
795,Eгoр,"The work of Android and IOS is amazing in speed. The most common, classic locket application. However, it was not possible to select photo recipients.",Rated 5 stars out of five stars,"April 18, 2022"
796,FORGOTTEN STOMPIN GROUNDS,I would love this app if I could actually use it I downloaded it to send photos to my friends but I don't have a phone number so I'm using my parents my parents do not have my friends phone number in result to this I can not use this app because you can only add your contacts. I would appreciate it if you can make it to where you could search for users around the world or just users like your friends to add. there could also be a parent thing so they could see who we add and like supervise app.,Rated 1 stars out of five stars,"May 30, 2022"
797,Carlo Antonio Patti,Android users can't have multiple different widgets :((( other than that amazing,Rated 3 stars out of five stars,"October 15, 2022"
798,Suhani Sharma,"i love the app but lately, it hasn't been functioning well. whenever i try to open the app, it doesn't open. there's a blank screen and then it returns back to my home screen. pls look into it ty",Rated 4 stars out of five stars,"July 1, 2022"
799,Lolov Baek,The concept of this app is distinguish and great but there is so much laging needs to be fixed like i can share the pics on other apps but can't download it on my gallery .. ! and the zoom in issue and so much more.,Rated 2 stars out of five stars,"July 8, 2022"
800,Imani Paris,app is good but needs more updates like the ios version. the ios version has much more updates than Androids.,Rated 3 stars out of five stars,"December 29, 2022"
801,Rehab Ali,Why can't I write to my friends in Locket? My phone is Huawei,Rated 1 stars out of five stars,"March 13, 2023"
802,dania,"The app is good but you can add more features such as you can messages or reply back to people, choose to pick from the gallery, and choose who you wanted to send the photos to and which widget you want to put.",Rated 3 stars out of five stars,"April 19, 2022"
803,Isla Major,"This is the worst app! It doesn't even work, I keep trying to type in my code and it keeps saying ""Your SMS verification is incorrect"" And I've checked 10 times to see if it was the right code and it was! I even copied and pasted it.",Rated 1 stars out of five stars,"April 19, 2022"
804,shreeiie,"this is amazing! my friends and i are enjoying it a lot and yes it's user friendly. but if I need my locket to be sent to one specific person, I don't see an option where I can post it for only one :( PLEASE PLEASE MAKE AN OPTION OR AN UPDATE FEATURE WHERE I CAN SEND IT TO ONE PERSON ONLY",Rated 4 stars out of five stars,"April 19, 2022"
805,Juliana Jezrel,i love this app sm! there are some features in ios that android doesn't have. I hope you can add those features to the android version and also where we can edit our photos add some texts and etc before we send it :)),Rated 4 stars out of five stars,"May 6, 2022"
806,Aysha Azman,"i don't get the verification code , i waited for so long , give me the verification code",Rated 1 stars out of five stars,"December 22, 2022"
807,HUGE MOOD,"For what I want, its really good. However, I would like to suggest optional notifs for new photos, as well as the ability to leave comments on a photo you receive.",Rated 4 stars out of five stars,"May 3, 2022"
808,tuan minh chau,everything I like about the app is the idea. Other than that the experience on an android phone really is the worst.,Rated 2 stars out of five stars,"February 11, 2023"
809,Janan,My friends who are apple users see my pictures in horrible quality like literally pixels and it honestly ruins the whole app for me,Rated 1 stars out of five stars,"December 12, 2022"
810,Amanda Jo,Samsung/android doesn't see replies or anything else so it's kind of pointless.,Rated 1 stars out of five stars,"March 1, 2023"
811,Yukolatte,"I've tried uninstalling and reinstalling the app. And even though i put in the exact same verification code, it keeps saying that i inputted the wrong code. Please do something to fix this :( i really want to use this with my friends",Rated 1 stars out of five stars,"May 2, 2022"
812,Nar20jes Baby_,The camera is slow to respond as it takes a long time to load + I would like to permanently delete some photos from the application and I can only delete them for me and not for others I would like a solution to this problem please I have some embarrassing pictures and I don't want my friends to see them.,Rated 3 stars out of five stars,"August 22, 2022"
813,Tosin Olatunji,"this is a very good app, I use it with my friends regularly. The highlight of my day!",Rated 5 stars out of five stars,"October 23, 2022"
814,Dana Hariga,"Smart idea, happy to finally have it on android. Very simple to use. Haven't had any problems so far. Would be nice to get the react feature like on iOS.",Rated 5 stars out of five stars,"April 18, 2022"
815,MadKraken,The app is great but it would be nice if android users are able to reply and see replies from apple users,Rated 4 stars out of five stars,"January 11, 2023"
816,Nada Hamza,"So I'm having the android version and it's so upsetting, it's not like the iPhone ver, it lagg so often , I cant make a zoom when I want to take picture ... I hope whoever's who created the android ver to fix it very soon ... I'm thankful if you did ... and I apologise for my bad English.",Rated 1 stars out of five stars,"July 1, 2022"
817,Atadn Sun,"Love this app so much♡ , but it's too slow when i open it , also i wish if it has the ability to take many pictures without internet connection ,then when the internet connected again it reloads the pictures by itself, because i actually don't have internet all the time:(",Rated 3 stars out of five stars,"August 18, 2022"
818,Mariah Wallace,It isn't working for my phone the button that's supposed to show up isn't showing up and I've deleting and reinstalled 3 times and nothing has worked by the way I have an android but my friend also has an android but it works just fine for her and I'm frustrated.,Rated 1 stars out of five stars,"August 28, 2022"
819,Ya3mor,"Very Bad app on android, it doesn't get any updates",Rated 1 stars out of five stars,"January 25, 2023"
820,Nurathirah Husna,"The apps are getting better with the update that allow us to reacts to others photo. But I hope that in this apps we can delete our posted photo, have filters and also can upload photo from gallery. It will be more fun!",Rated 3 stars out of five stars,"June 9, 2022"
821,fatima alneshimi,why the android phone doesn't have an a chat in Locket ?? If you make the chat in Android phones in locket I'll rate it five star,Rated 3 stars out of five stars,"March 24, 2023"
822,lashondra Reed-Miller,No message on android they don't even read their rates they lazy,Rated 1 stars out of five stars,"March 30, 2023"
823,raihanah batrisyia,"Hi! From my experience using this app, it's still new but I had a lot of fun woth my friend sharing pictures, but in future, can we share videos too? It would be much more fun :) This was my friend idea by the way. The last update was awesome, we can zoom in, give reaction... but can you guys add more reaction like 🎉💪🏻🤌✨😱😰🧐👎🏻 thanks, that's all from me.",Rated 4 stars out of five stars,"September 1, 2022"
824,mahmoud 09,The app is so good and if you want to make the must good looking photos you and you friends this the app for you,Rated 5 stars out of five stars,"January 21, 2023"
825,Matthew Lee,Plz make it to where samsung can chat and I will make it 5 stars.,Rated 4 stars out of five stars,"March 25, 2023"
826,Uzair Ahmed,Really good app initally. The camera was really good for selfies. Now theyve added a terrible watermark whenever you want to send a picture anywhere else so any picture is useless outside of the locket app.,Rated 2 stars out of five stars,"September 3, 2022"
827,Maia,"Downloaded this for me and my friend to use. It needed a number verification, yet once I input my number it doesn't send the code. I see alot of app reviews like this from fellow android users, so I'm positive I'm not the only one who has this bug. Please fix this and I will reinstall.",Rated 1 stars out of five stars,"May 29, 2022"
828,Ivie Jaynne,Its nice and cute the texture about the camera is good its also easy to use but will u guys please add something that it can connect to the other social media?also add some features to it like we can draw to our face so it well look more amazing and nice ^^ thank you!!,Rated 4 stars out of five stars,"May 3, 2022"
829,Shams Shhab,Why does the iphon version has way more and better stuff then the samsung version...!?,Rated 3 stars out of five stars,"December 12, 2022"
830,Erika Jimenez,"It's really cute but I can't use it much because when there's a really cute pic, I need wifi to send it. I wish I can upload from my gallery. Also, it would be cute if we could edit the photos too! Thanks a lot :))",Rated 3 stars out of five stars,"July 4, 2022"
831,Clara Heikka,"it's like snapchat without the random people you don't know, I like it!",Rated 5 stars out of five stars,"November 22, 2022"
832,Queen Shahad,its so good except that i cant receive chat or sent it i dont know why is it like that other than that the app is perfect,Rated 4 stars out of five stars,"February 4, 2023"
833,Father Poultry,"It's cool so far, and the android version def has some drawbacks rn, but i really wish it had the ability to send from my gallery. I really wanna be able to send them memes.",Rated 3 stars out of five stars,"April 21, 2022"
834,Jasmine Seigo,want the message option for android!!! but I love locket sm,Rated 3 stars out of five stars,"February 22, 2023"
835,David,The app works fine. They just need to update it to be able to send pics to specific people. It sends it to everyone you add which is annoying.,Rated 4 stars out of five stars,"April 12, 2022"
836,Andrew Ernst,"this app is awesome, little pictures here and there pop up on your screen without notification so I get surprise pictures of my wife and family. one of my favorite apps ever. helps you remember the people who love you and gives me a reason to work harder.",Rated 5 stars out of five stars,"June 20, 2022"
837,Seth Wright,I love this app.It's great to see all of my friends faces on my home screen with whatever they are doing and to react to them.(I know a lot of other reviews have said this but... it's true)the only problem is that unlike the apple version ANDROID CANT SELECT AN INDIVIDUAL FRIEND FOR EACH WIDGET and it sorta drives me crazy.it's kinda sad when you miss a friend's picture or when the same friend is always taking a picture so you can't see others friends locket.other than that this is the funnest,Rated 4 stars out of five stars,"September 23, 2022"
838,Thomas,Cannot purge old/wrong already uploaded photos from the system,Rated 1 stars out of five stars,"November 14, 2022"
839,Mir Cola,"We've all been excited, but now we're frustrated with the way it works I hope to edit it and make it easy for everyone to use. I know you want to expand your app by adding friends, but it's going to fail because we're using social media.",Rated 1 stars out of five stars,"April 20, 2022"
840,Julia Ameera,"Everytime I open the app, my phone brightness increases automatically. When I close the app, the brightness reduces into default. Hope you can fix this. Really strain my eyes tho",Rated 3 stars out of five stars,"August 16, 2022"
841,Nur Qarmila,"Ive download this app twice, first was a nice experience but i wish i could send different picture to different friends separately. The second time i download it, i cant even log in. Fix this and i will fix the review.",Rated 1 stars out of five stars,"May 2, 2022"
